wl,reference,5,10,15,30,50,70,p3ht
527.68,,1.069,1.013,1.073,1.01,0.9415,0.9345,
527.68175,,,,,,,,1.08509
528.405,0.5293,,,,,,,
528.53,,1.07,1.012,1.074,1.008,0.9384,0.9319,
528.5326200000001,,,,,,,,1.08049
529.323,0.5293,,,,,,,
529.38,,1.07,1.01,1.074,1.006,0.9355,0.9294,
529.38349,,,,,,,,1.07988
530.23,,1.07,1.009,1.074,1.004,0.9327,0.9266,
530.2343599999999,,,,,,,,1.08073
530.24,0.5292,,,,,,,
531.08523,,,,,,,,1.08138
531.09,,1.07,1.007,1.073,1.001,0.9297,0.9237,
531.158,0.5291,,,,,,,
531.9361,,,,,,,,1.08312
531.94,,1.069,1.005,1.071,0.9983,0.9265,0.9207,
532.076,0.5291,,,,,,,
532.78697,,,,,,,,1.08511
532.79,,1.068,1.003,1.07,0.9957,0.9233,0.9176,
532.993,0.529,,,,,,,
533.63785,,,,,,,,1.085
533.64,,1.066,1.001,1.069,0.9932,0.9203,0.9145,
533.911,0.5288,,,,,,,
534.4887200000001,,,,,,,,1.08313
534.49,,1.065,0.9984,1.069,0.9909,0.9176,0.9113,
534.829,0.5288,,,,,,,
535.33959,,,,,,,,1.08043
535.34,,1.065,0.996,1.068,0.9886,0.9146,0.9082,
535.747,0.5288,,,,,,,
536.19,,1.064,0.9935,1.068,0.986,0.9114,0.905,
536.1904599999999,,,,,,,,1.07495
536.664,0.5289,,,,,,,
537.04,,1.063,0.991,1.068,0.9835,0.9083,0.9021,
537.04133,,,,,,,,1.06308
537.582,0.5289,,,,,,,
537.89,,1.063,0.9887,1.067,0.981,0.9055,0.8993,
537.8922,,,,,,,,1.04941
538.5,0.5289,,,,,,,
538.74,,1.063,0.9868,1.066,0.9788,0.903,0.8966,
538.74308,,,,,,,,1.0437
539.417,0.5289,,,,,,,
539.59,,1.063,0.9852,1.065,0.9767,0.9005,0.894,
539.59395,,,,,,,,1.04614
540.335,0.529,,,,,,,
540.44,,1.063,0.9838,1.064,0.9747,0.898,0.8913,
540.44482,,,,,,,,1.04762
