,Wavenumber,Absorbance,film
536,916.325,1.825,doped PBTTT
537,917.289,1.8030000000000002,doped PBTTT
538,918.253,1.7790000000000001,doped PBTTT
539,919.2180000000001,1.756,doped PBTTT
540,920.182,1.734,doped PBTTT
541,921.1460000000001,1.715,doped PBTTT
542,922.11,1.6980000000000002,doped PBTTT
543,923.075,1.685,doped PBTTT
544,924.039,1.673,doped PBTTT
545,925.003,1.6640000000000001,doped PBTTT
546,925.967,1.6540000000000001,doped PBTTT
547,926.932,1.6440000000000001,doped PBTTT
548,927.8960000000001,1.633,doped PBTTT
549,928.86,1.62,doped PBTTT
550,929.824,1.608,doped PBTTT
551,930.789,1.595,doped PBTTT
552,931.753,1.5830000000000002,doped PBTTT
553,932.717,1.571,doped PBTTT
554,933.681,1.56,doped PBTTT
555,934.645,1.55,doped PBTTT
556,935.61,1.54,doped PBTTT
557,936.574,1.5290000000000001,doped PBTTT
558,937.538,1.518,doped PBTTT
559,938.502,1.506,doped PBTTT
560,939.467,1.494,doped PBTTT
561,940.431,1.483,doped PBTTT
562,941.395,1.472,doped PBTTT
563,942.3589999999999,1.462,doped PBTTT
564,943.324,1.453,doped PBTTT
565,944.288,1.444,doped PBTTT
566,945.252,1.433,doped PBTTT
567,946.216,1.421,doped PBTTT
568,947.18,1.4080000000000001,doped PBTTT
569,948.145,1.395,doped PBTTT
570,949.1089999999999,1.3840000000000001,doped PBTTT
571,950.073,1.375,doped PBTTT
572,951.0369999999999,1.368,doped PBTTT
573,952.002,1.3619999999999999,doped PBTTT
574,952.966,1.357,doped PBTTT
575,953.93,1.35,doped PBTTT
576,954.8939999999999,1.3430000000000002,doped PBTTT
577,955.8589999999999,1.334,doped PBTTT
578,956.823,1.324,doped PBTTT
579,957.7869999999999,1.314,doped PBTTT
580,958.7510000000001,1.305,doped PBTTT
581,959.716,1.297,doped PBTTT
582,960.68,1.288,doped PBTTT
583,961.6439999999999,1.28,doped PBTTT
584,962.6080000000001,1.271,doped PBTTT
585,963.572,1.263,doped PBTTT
586,964.5369999999999,1.255,doped PBTTT
587,965.5010000000001,1.247,doped PBTTT
588,966.465,1.239,doped PBTTT
589,967.429,1.229,doped PBTTT
590,968.3939999999999,1.218,doped PBTTT
591,969.3580000000001,1.206,doped PBTTT
592,970.322,1.194,doped PBTTT
593,971.2860000000001,1.183,doped PBTTT
594,972.2510000000001,1.173,doped PBTTT
595,973.215,1.1640000000000001,doped PBTTT
596,974.179,1.156,doped PBTTT
597,975.143,1.148,doped PBTTT
598,976.107,1.14,doped PBTTT
